casual_rentals,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Customer_Segment
0,0,1547,20399,5,5,5,555,Best Customers
1,1,1052,26409,5,5,5,555,Best Customers
2,0,780,28509,5,5,5,555,Best Customers
3,0,690,37797,5,5,5,555,Best Customers
4,0,544,35784,5,5,5,555,Best Customers
5,1,503,38364,5,5,5,555,Best Customers
6,0,436,37781,5,5,5,555,Best Customers
7,0,392,37253,5,5,5,555,Best Customers
8,0,369,40542,5,5,5,555,Best Customers
9,0,333,40605,5,5,5,555,Best Customers
10,0,305,35673,5,5,5,555,Best Customers
11,0,306,44370,5,5,5,555,Best Customers
12,0,279,37655,5,5,5,555,Best Customers
13,0,246,35855,5,5,5,555,Best Customers
14,0,217,33145,5,5,5,555,Best Customers
15,3,218,34837,5,5,5,555,Best Customers
16,1,201,31315,5,5,5,555,Best Customers
17,3,204,34025,5,5,5,555,Best Customers
18,2,205,33699,5,5,5,555,Best Customers
19,2,192,30800,5,5,5,555,Best Customers
20,6,172,33059,5,5,5,555,Best Customers
21,7,164,29971,5,5,5,555,Best Customers
22,2,144,25565,5,5,5,555,Best Customers
23,4,144,27303,5,5,5,555,Best Customers
24,10,144,27393,5,5,5,555,Best Customers
25,10,151,31298,5,5,5,555,Best Customers
26,1,137,27254,5,5,5,555,Best Customers
27,28,181,36756,5,5,5,555,Best Customers
28,10,140,30048,5,5,5,555,Best Customers
29,9,138,27936,5,5,5,555,Best Customers
30,0,137,28290,5,5,5,555,Best Customers
31,1,148,32631,5,5,5,555,Best Customers
32,16,106,20682,5,5,5,555,Best Customers
33,0,139,29889,5,5,5,555,Best Customers
34,19,124,26617,5,5,5,555,Best Customers
35,16,102,23141,5,5,5,555,Best Customers
36,24,100,21365,5,5,5,555,Best Customers
37,1,103,20482,5,5,5,555,Best Customers
38,0,96,22966,5,5,5,555,Best Customers
39,1,98,23080,5,5,5,555,Best Customers
40,13,118,28512,5,5,5,555,Best Customers
41,18,100,24805,5,5,5,555,Best Customers
42,3,109,25605,5,5,5,555,Best Customers
43,0,71,16119,5,5,5,555,Best Customers
44,27,88,20941,5,5,5,555,Best Customers
45,17,85,21707,5,5,5,555,Best Customers
46,11,78,18739,5,5,5,555,Best Customers
47,15,87,23455,5,5,5,555,Best Customers
48,6,80,19006,5,5,5,555,Best Customers
49,13,86,21385,5,5,5,555,Best Customers
50,15,78,21760,5,5,5,555,Best Customers
51,6,84,21315,5,5,5,555,Best Customers
52,0,73,18725,5,5,5,555,Best Customers
53,8,81,20966,5,5,5,555,Best Customers
54,50,74,20986,4,5,5,455,Regular Customers
55,37,90,24678,5,5,5,555,Best Customers
56,13,76,21180,5,5,5,555,Best Customers
57,8,68,18854,5,5,5,555,Best Customers
58,6,65,16964,5,5,5,555,Best Customers
59,29,70,20241,5,5,5,555,Best Customers
60,22,62,16515,5,5,5,555,Best Customers
61,41,77,22049,4,5,5,455,Regular Customers
62,0,64,17056,5,5,5,555,Best Customers
63,8,66,18246,5,5,5,555,Best Customers
64,37,49,15921,5,5,5,555,Best Customers
65,22,52,17303,5,5,5,555,Best Customers
66,15,63,18796,5,5,5,555,Best Customers
67,15,56,18336,5,5,5,555,Best Customers
68,40,59,19993,5,5,5,555,Best Customers
69,0,70,22072,5,5,5,555,Best Customers
70,40,51,17143,5,5,5,555,Best Customers
71,3,47,13921,5,5,5,555,Best Customers
72,3,47,15247,5,5,5,555,Best Customers
73,57,44,13264,4,5,5,455,Regular Customers
74,3,59,21924,5,5,5,555,Best Customers
75,6,44,14449,5,5,5,555,Best Customers
76,3,44,13484,5,5,5,555,Best Customers
77,3,48,14638,5,5,5,555,Best Customers
78,52,46,15188,4,5,5,455,Regular Customers
79,43,45,14855,4,5,5,455,Regular Customers
80,44,38,12711,4,5,5,455,Regular Customers
81,28,32,11447,5,5,5,555,Best Customers
82,49,31,10929,4,5,5,455,Regular Customers
83,94,29,11046,4,5,5,455,Regular Customers
84,3,30,10000,5,5,4,554,Best Customers
85,16,33,11608,5,5,5,555,Best Customers
86,51,29,11621,4,5,5,455,Regular Customers
87,38,25,9003,5,5,4,554,Best Customers
88,16,45,17553,5,5,5,555,Best Customers
