index,date,season,year,month,is_holiday,weekday,is_working_day,weather_situation,temperature,apparent_temperature,humidity,windspeed,casual_rentals,registered_rentals,total_rentals,rental_category,windspeed_category,humidity_category,rolling_mean
1,2011-01-01,,2011,Jan,Not holiday,Sa,Not Workday,Cloudy/Broken clouds,0.344167,0.363625,0.805833,0.160446,331,654,985,Low,Low,Low,
2,2011-01-02,,2011,Jan,Not holiday,Su,Not Workday,Cloudy/Broken clouds,0.363478,0.353739,0.696087,0.248539,131,670,801,Low,Low,Low,
3,2011-01-03,,2011,Jan,Not holiday,Mo,Workingday,Clear/Few clouds,0.196364,0.189405,0.437273,0.248309,120,1229,1349,Low,Low,Low,
4,2011-01-04,,2011,Jan,Not holiday,Tu,Workingday,Clear/Few clouds,0.2,0.212122,0.590435,0.160296,108,1454,1562,Low,Low,Low,
5,2011-01-05,,2011,Jan,Not holiday,We,Workingday,Clear/Few clouds,0.226957,0.22927,0.436957,0.1869,82,1518,1600,Low,Low,Low,
6,2011-01-06,,2011,Jan,Not holiday,Th,Workingday,Clear/Few clouds,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,Low,Low,Low,
7,2011-01-07,,2011,Jan,Not holiday,Fr,Workingday,Cloudy/Broken clouds,0.196522,0.208839,0.498696,0.168726,148,1362,1510,Low,Low,Low,1344.7142857142858
8,2011-01-08,,2011,Jan,Not holiday,Sa,Not Workday,Cloudy/Broken clouds,0.165,0.162254,0.535833,0.266804,68,891,959,Low,Low,Low,1341.0
9,2011-01-09,,2011,Jan,Not holiday,Su,Not Workday,Clear/Few clouds,0.138333,0.116175,0.434167,0.36195,54,768,822,Low,Low,Low,1344.0
10,2011-01-10,,2011,Jan,Not holiday,Mo,Workingday,Clear/Few clouds,0.150833,0.150888,0.482917,0.223267,41,1280,1321,Low,Low,Low,1340.0
11,2011-01-11,,2011,Jan,Not holiday,Tu,Workingday,Cloudy/Broken clouds,0.169091,0.191464,0.686364,0.122132,43,1220,1263,Low,Low,Low,1297.2857142857142
12,2011-01-12,,2011,Jan,Not holiday,We,Workingday,Clear/Few clouds,0.172727,0.160473,0.599545,0.304627,25,1137,1162,Low,Low,Low,1234.7142857142858
13,2011-01-13,,2011,Jan,Not holiday,Th,Workingday,Clear/Few clouds,0.165,0.150883,0.470417,0.301,38,1368,1406,Low,Low,Low,1206.142857142857
14,2011-01-14,,2011,Jan,Not holiday,Fr,Workingday,Clear/Few clouds,0.16087,0.188413,0.537826,0.126548,54,1367,1421,Low,Low,Low,1193.4285714285713
15,2011-01-15,,2011,Jan,Not holiday,Sa,Not Workday,Cloudy/Broken clouds,0.233333,0.248112,0.49875,0.157963,222,1026,1248,Low,Low,Low,1234.7142857142858
16,2011-01-16,,2011,Jan,Not holiday,Su,Not Workday,Clear/Few clouds,0.231667,0.234217,0.48375,0.188433,251,953,1204,Low,Low,Low,1289.2857142857142
17,2011-01-17,,2011,Jan,Holiday,Mo,Not Workday,Cloudy/Broken clouds,0.175833,0.176771,0.5375,0.194017,117,883,1000,Low,Low,Low,1243.4285714285713
18,2011-01-18,,2011,Jan,Not holiday,Tu,Workingday,Cloudy/Broken clouds,0.216667,0.232333,0.861667,0.146775,9,674,683,Low,Low,Low,1160.5714285714287
19,2011-01-19,,2011,Jan,Not holiday,We,Workingday,Cloudy/Broken clouds,0.292174,0.298422,0.741739,0.208317,78,1572,1650,Low,Low,Low,1230.2857142857142
20,2011-01-20,,2011,Jan,Not holiday,Th,Workingday,Cloudy/Broken clouds,0.261667,0.25505,0.538333,0.195904,83,1844,1927,Low,Low,Low,1304.7142857142858
21,2011-01-21,,2011,Jan,Not holiday,Fr,Workingday,Clear/Few clouds,0.1775,0.157833,0.457083,0.353242,75,1468,1543,Low,Low,Low,1322.142857142857
22,2011-01-22,,2011,Jan,Not holiday,Sa,Not Workday,Clear/Few clouds,0.0591304,0.0790696,0.4,0.17197,93,888,981,Low,Low,Low,1284.0
23,2011-01-23,,2011,Jan,Not holiday,Su,Not Workday,Clear/Few clouds,0.0965217,0.0988391,0.436522,0.2466,150,836,986,Low,Low,Low,1252.857142857143
24,2011-01-24,,2011,Jan,Not holiday,Mo,Workingday,Clear/Few clouds,0.0973913,0.11793,0.491739,0.15833,86,1330,1416,Low,Low,Low,1312.2857142857142
25,2011-01-25,,2011,Jan,Not holiday,Tu,Workingday,Cloudy/Broken clouds,0.223478,0.234526,0.616957,0.129796,186,1799,1985,Low,Low,Low,1498.2857142857142
26,2011-01-26,,2011,Jan,Not holiday,We,Workingday,Light Rain/Snow,0.2175,0.2036,0.8625,0.29385,34,472,506,Low,Low,Low,1334.857142857143
27,2011-01-27,,2011,Jan,Not holiday,Th,Workingday,Clear/Few clouds,0.195,0.2197,0.6875,0.113837,15,416,431,Low,Low,Low,1121.142857142857
28,2011-01-28,,2011,Jan,Not holiday,Fr,Workingday,Cloudy/Broken clouds,0.203478,0.223317,0.793043,0.1233,38,1129,1167,Low,Low,Low,1067.4285714285713
29,2011-01-29,,2011,Jan,Not holiday,Sa,Not Workday,Clear/Few clouds,0.196522,0.212126,0.651739,0.145365,123,975,1098,Low,Low,Low,1084.142857142857
30,2011-01-30,,2011,Jan,Not holiday,Su,Not Workday,Clear/Few clouds,0.216522,0.250322,0.722174,0.0739826,140,956,1096,Low,Low,Low,1099.857142857143
31,2011-01-31,,2011,Jan,Not holiday,Mo,Workingday,Cloudy/Broken clouds,0.180833,0.18625,0.60375,0.187192,42,1459,1501,Low,Low,Low,1112.0
32,2011-02-01,,2011,Feb,Not holiday,Tu,Workingday,Cloudy/Broken clouds,0.192174,0.23453,0.829565,0.053213,47,1313,1360,Low,Low,Low,1022.7142857142857
33,2011-02-02,,2011,Feb,Not holiday,We,Workingday,Cloudy/Broken clouds,0.26,0.254417,0.775417,0.264308,72,1454,1526,Low,Low,Low,1168.4285714285713
34,2011-02-03,,2011,Feb,Not holiday,Th,Workingday,Clear/Few clouds,0.186957,0.177878,0.437826,0.277752,61,1489,1550,Low,Low,Low,1328.2857142857142
35,2011-02-04,,2011,Feb,Not holiday,Fr,Workingday,Cloudy/Broken clouds,0.211304,0.228587,0.585217,0.127839,88,1620,1708,Low,Low,Low,1405.5714285714287
36,2011-02-05,,2011,Feb,Not holiday,Sa,Not Workday,Cloudy/Broken clouds,0.233333,0.243058,0.929167,0.161079,100,905,1005,Low,Low,Low,1392.2857142857142
37,2011-02-06,,2011,Feb,Not holiday,Su,Not Workday,Clear/Few clouds,0.285833,0.291671,0.568333,0.1418,354,1269,1623,Low,Low,Low,1467.5714285714287
38,2011-02-07,,2011,Feb,Not holiday,Mo,Workingday,Clear/Few clouds,0.271667,0.303658,0.738333,0.0454083,120,1592,1712,Low,Low,Low,1497.7142857142858
39,2011-02-08,,2011,Feb,Not holiday,Tu,Workingday,Clear/Few clouds,0.220833,0.198246,0.537917,0.36195,64,1466,1530,Low,Low,Low,1522.0
40,2011-02-09,,2011,Feb,Not holiday,We,Workingday,Cloudy/Broken clouds,0.134783,0.144283,0.494783,0.188839,53,1552,1605,Low,Low,Low,1533.2857142857142
41,2011-02-10,,2011,Feb,Not holiday,Th,Workingday,Clear/Few clouds,0.144348,0.149548,0.437391,0.221935,47,1491,1538,Low,Low,Low,1531.5714285714287
42,2011-02-11,,2011,Feb,Not holiday,Fr,Workingday,Clear/Few clouds,0.189091,0.213509,0.506364,0.10855,149,1597,1746,Low,Low,Low,1537.0
43,2011-02-12,,2011,Feb,Not holiday,Sa,Not Workday,Clear/Few clouds,0.2225,0.232954,0.544167,0.203367,288,1184,1472,Low,Low,Low,1603.7142857142858
44,2011-02-13,,2011,Feb,Not holiday,Su,Not Workday,Clear/Few clouds,0.316522,0.324113,0.457391,0.260883,397,1192,1589,Low,Low,Low,1598.857142857143
46,2011-02-15,,2011,Feb,Not holiday,Tu,Workingday,Clear/Few clouds,0.266087,0.254274,0.314348,0.291374,140,1675,1815,Low,Low,Low,1613.5714285714287
47,2011-02-16,,2011,Feb,Not holiday,We,Workingday,Clear/Few clouds,0.318261,0.3162,0.423478,0.251791,218,1897,2115,Low,Low,Low,1697.142857142857
48,2011-02-17,,2011,Feb,Not holiday,Th,Workingday,Clear/Few clouds,0.435833,0.428658,0.505,0.230104,259,2216,2475,Low,Low,Low,1821.4285714285713
49,2011-02-18,,2011,Feb,Not holiday,Fr,Workingday,Clear/Few clouds,0.521667,0.511983,0.516667,0.264925,579,2348,2927,Normal,Low,Low,2019.857142857143
51,2011-02-20,,2011,Feb,Not holiday,Su,Not Workday,Clear/Few clouds,0.285217,0.27733,0.407826,0.223235,639,1173,1812,Low,Low,Low,2029.2857142857142
52,2011-02-21,,2011,Feb,Holiday,Mo,Not Workday,Cloudy/Broken clouds,0.303333,0.284075,0.605,0.307846,195,912,1107,Low,Low,Low,1977.142857142857
53,2011-02-22,,2011,Feb,Not holiday,Tu,Workingday,Clear/Few clouds,0.182222,0.186033,0.577778,0.195683,74,1376,1450,Low,Low,Low,1957.2857142857142
54,2011-02-23,,2011,Feb,Not holiday,We,Workingday,Clear/Few clouds,0.221739,0.245717,0.423043,0.094113,139,1778,1917,Low,Low,Low,1971.857142857143
55,2011-02-24,,2011,Feb,Not holiday,Th,Workingday,Cloudy/Broken clouds,0.295652,0.289191,0.697391,0.250496,100,1707,1807,Low,Low,Low,1927.857142857143
56,2011-02-25,,2011,Feb,Not holiday,Fr,Workingday,Cloudy/Broken clouds,0.364348,0.350461,0.712174,0.346539,120,1341,1461,Low,Low,Low,1783.0
57,2011-02-26,,2011,Feb,Not holiday,Sa,Not Workday,Clear/Few clouds,0.2825,0.282192,0.537917,0.186571,424,1545,1969,Low,Low,Low,1646.142857142857
58,2011-02-27,,2011,Feb,Not holiday,Su,Not Workday,Clear/Few clouds,0.343478,0.351109,0.68,0.125248,694,1708,2402,Low,Low,Low,1730.4285714285713
59,2011-02-28,,2011,Feb,Not holiday,Mo,Workingday,Cloudy/Broken clouds,0.407273,0.400118,0.876364,0.289686,81,1365,1446,Low,Low,Low,1778.857142857143
60,2011-03-01,,2011,Mar,Not holiday,Tu,Workingday,Clear/Few clouds,0.266667,0.263879,0.535,0.216425,137,1714,1851,Low,Low,Low,1836.142857142857
61,2011-03-02,,2011,Mar,Not holiday,We,Workingday,Clear/Few clouds,0.335,0.320071,0.449583,0.307833,231,1903,2134,Low,Low,Low,1867.142857142857
62,2011-03-03,,2011,Mar,Not holiday,Th,Workingday,Clear/Few clouds,0.198333,0.200133,0.318333,0.225754,123,1562,1685,Low,Low,Low,1849.7142857142858
