index,date,season,year,month,hour,is_holiday,weekday,is_working_day,weather_situation,temperature,apparent_temperature,humidity,windspeed,casual_rentals,registered_rentals,total_rentals,time_of_day,windspeed_category,humidity_category,rolling_mean
1,2011-01-01,Spring,2011,Jan,0,Not holiday,Saturday,Not Workday,Clear/Few clouds,0.24,0.2879,0.81,0.0,3,13,16,Malam,,Low,
24,2011-01-01,Spring,2011,Jan,23,Not holiday,Saturday,Not Workday,Cloudy/Broken clouds,0.46,0.4545,0.88,0.2985,15,24,39,Sore,Low,Low,
23,2011-01-01,Spring,2011,Jan,22,Not holiday,Saturday,Not Workday,Cloudy/Broken clouds,0.4,0.4091,0.94,0.2239,11,17,28,Sore,Low,Low,
22,2011-01-01,Spring,2011,Jan,21,Not holiday,Saturday,Not Workday,Cloudy/Broken clouds,0.4,0.4091,0.87,0.194,3,31,34,Sore,Low,Low,
21,2011-01-01,Spring,2011,Jan,20,Not holiday,Saturday,Not Workday,Cloudy/Broken clouds,0.4,0.4091,0.87,0.2537,11,25,36,Sore,Low,Low,
20,2011-01-01,Spring,2011,Jan,19,Not holiday,Saturday,Not Workday,Light Rain/Snow,0.42,0.4242,0.88,0.2537,6,31,37,Sore,Low,Low,
19,2011-01-01,Spring,2011,Jan,18,Not holiday,Saturday,Not Workday,Light Rain/Snow,0.42,0.4242,0.88,0.2537,9,26,35,Sore,Low,Low,
17,2011-01-01,Spring,2011,Jan,16,Not holiday,Saturday,Not Workday,Cloudy/Broken clouds,0.42,0.4242,0.82,0.2985,41,52,93,Siang,Low,Low,
16,2011-01-01,Spring,2011,Jan,15,Not holiday,Saturday,Not Workday,Cloudy/Broken clouds,0.44,0.4394,0.77,0.2985,40,70,110,Siang,Low,Low,
15,2011-01-01,Spring,2011,Jan,14,Not holiday,Saturday,Not Workday,Cloudy/Broken clouds,0.46,0.4545,0.72,0.2836,35,71,106,Siang,Low,Low,
14,2011-01-01,Spring,2011,Jan,13,Not holiday,Saturday,Not Workday,Cloudy/Broken clouds,0.46,0.4545,0.72,0.2985,47,47,94,Siang,Low,Low,
13,2011-01-01,Spring,2011,Jan,12,Not holiday,Saturday,Not Workday,Clear/Few clouds,0.42,0.4242,0.77,0.2836,29,55,84,Siang,Low,Low,
18,2011-01-01,Spring,2011,Jan,17,Not holiday,Saturday,Not Workday,Cloudy/Broken clouds,0.44,0.4394,0.82,0.2836,15,52,67,Siang,Low,Low,
11,2011-01-01,Spring,2011,Jan,10,Not holiday,Saturday,Not Workday,Clear/Few clouds,0.38,0.3939,0.76,0.2537,12,24,36,Pagi,Low,Low,
12,2011-01-01,Spring,2011,Jan,11,Not holiday,Saturday,Not Workday,Clear/Few clouds,0.36,0.3333,0.81,0.2836,26,30,56,Pagi,Low,Low,
3,2011-01-01,Spring,2011,Jan,2,Not holiday,Saturday,Not Workday,Clear/Few clouds,0.22,0.2727,0.8,0.0,5,27,32,Malam,,Low,
4,2011-01-01,Spring,2011,Jan,3,Not holiday,Saturday,Not Workday,Clear/Few clouds,0.24,0.2879,0.75,0.0,3,10,13,Malam,,Low,
5,2011-01-01,Spring,2011,Jan,4,Not holiday,Saturday,Not Workday,Clear/Few clouds,0.24,0.2879,0.75,0.0,0,1,1,Malam,,Low,
6,2011-01-01,Spring,2011,Jan,5,Not holiday,Saturday,Not Workday,Cloudy/Broken clouds,0.24,0.2576,0.75,0.0896,0,1,1,Malam,Low,Low,
2,2011-01-01,Spring,2011,Jan,1,Not holiday,Saturday,Not Workday,Clear/Few clouds,0.22,0.2727,0.8,0.0,8,32,40,Malam,,Low,
8,2011-01-01,Spring,2011,Jan,7,Not holiday,Saturday,Not Workday,Clear/Few clouds,0.2,0.2576,0.86,0.0,1,2,3,Pagi,,Low,
9,2011-01-01,Spring,2011,Jan,8,Not holiday,Saturday,Not Workday,Clear/Few clouds,0.24,0.2879,0.75,0.0,1,7,8,Pagi,,Low,
10,2011-01-01,Spring,2011,Jan,9,Not holiday,Saturday,Not Workday,Clear/Few clouds,0.32,0.3485,0.76,0.0,8,6,14,Pagi,,Low,
7,2011-01-01,Spring,2011,Jan,6,Not holiday,Saturday,Not Workday,Clear/Few clouds,0.22,0.2727,0.8,0.0,2,0,2,Pagi,,Low,41.041666666666664
38,2011-01-02,Spring,2011,Jan,14,Not holiday,Sunday,Not Workday,Light Rain/Snow,0.36,0.3485,0.76,0.194,4,55,59,Siang,Low,Low,42.833333333333336
47,2011-01-02,Spring,2011,Jan,23,Not holiday,Sunday,Not Workday,Clear/Few clouds,0.22,0.2273,0.47,0.1642,0,8,8,Sore,Low,Low,41.541666666666664
